HH_ID,FOOD_PRE,FOOD_VFM,FOOD_ECO,CLEANO_PRE,CLEANO_VFM,CLEANO_ECO,PC_PRE,PC_VFM,PC_ECO,FOOD_TOT,CLEANO_TOT,PC_TOT,TOTAL
175,1399902.376,2736497.269,1131686.223,94823.86,365034.4,67604,75560.17,310890.13,114650.12,5268085.868,527462.26,501100.42,6296648.548
176,2196311.912,3753010.418,1422139.333,97435.05,290880.82,171234.28,216747.13,491501.33,105004.5,7371461.662,559550.15,813252.96,8744264.772
177,1006376.904,2605375.039,1125338.933,37210.59,139232.81,100215.35,120877.2,210996.64,159899.2829,4737090.877,276658.75,491773.1229,5505522.75
178,1575252.17,3478434.458,959901.871,174399.81,629929.1,105238.95,121375,349303.39,122925.15,6013588.499,909567.86,593603.54,7516759.899
179,722189.5309,1918053.637,386175.9541,131396.2,169958.7,43683.15,27554.73,242136.07,51892.78,3026419.122,345038.05,321583.58,3693040.752
180,1144085.364,5272151.6,3953041.53,161663.77,291225.15,234192.88,45589.55,759624.95,1080722.53,10369278.49,687081.8,1885937.03,12942297.32
181,2081561.521,3096821.666,1400765.032,405783.44,346971.57,84234,622664.89,482623.58,430648.55,6579148.219,836989.01,1535937.02,8952074.249
182,4216371.975,7949388.707,1682604.831,435117.7,458161.38,222751.3175,571806.78,754259.4,274349.31,13848365.51,1116030.398,1600415.49,16564811.4
183,1407654.17,6693767.537,2674708.192,86230.95,234758.876,55873.9,181916.82,652562.65,295283.14,10776129.9,376863.726,1129762.61,12282756.23
184,992942.9991,2814697.402,926558.9291,55655.1,178200.9,47860,58082.56,206164.41,134352.78,4734199.33,281716,398599.75,5414515.08
185,2221540.886,3303414.909,1196657.723,219934.42,366007.16,74951.57,305145.07,577680.2,49780.16,6721613.518,660893.15,932605.43,8315112.098
